subject_id,task,data.value
44121902,T21,[{'13': 1}]
44121902,T22,[{'0': 1}]
44121902,T23,[{'13': 1}]
44121902,T25,[{'0': 1}]
44121902,T26,[{'13': 1}]
44121902,T27,[{'13': 1}]
44121902,T28,[{'13': 1}]
44121902,T29,[{'13': 1}]
44121904,T2,[{'13': 4}]
44121904,T4,"[{'None': 1, '1': 3}]"
44121904,T7,"[{'None': 1, '0': 3}]"
44121904,T8,"[{'None': 1, '1': 3}]"
44121904,T9,"[{'None': 1, '13': 3}]"
44121904,T10,"[{'None': 1, '0': 3}]"
44121904,T11,"[{'None': 1, '0': 3}]"
44121904,T13,"[{'None': 1, '0': 3}]"
44121904,T14,"[{'None': 1, '0': 3}]"
44121904,T15,"[{'None': 1, '1': 3}]"
44121904,T16,"[{'None': 1, '0': 3}]"
44121904,T17,"[{'None': 1, '0': 3}]"
44121904,T19,"[{'None': 1, '6': 3}]"
44121904,T20,"[{'None': 1, '0': 3}]"
44121904,T21,"[{'None': 1, '1': 3}]"
44121904,T22,"[{'None': 1, '0': 3}]"
44121904,T23,"[{'None': 1, '0': 3}]"
44121904,T25,"[{'None': 1, '0': 3}]"
44121904,T26,"[{'None': 1, '0': 3}]"
44121904,T27,"[{'None': 1, '0': 3}]"
44121904,T28,"[{'None': 1, '0': 3}]"
44121904,T29,"[{'None': 1, '0': 3}]"
44121906,T1,[{'0': 3}]
44121906,T2,[{'13': 3}]
44121906,T3,[{'6': 3}]
44121906,T4,[{'0': 3}]
44121906,T5,[{'0': 3}]
44121906,T7,[{'0': 3}]
44121906,T8,[{'0': 3}]
44121906,T9,[{'7': 3}]
44121906,T10,[{'0': 3}]
44121906,T11,[{'15': 3}]
44121906,T13,[{'6': 3}]
44121906,T14,[{'0': 3}]
44121906,T15,[{'15': 3}]
44121906,T16,[{'0': 3}]
44121906,T17,[{'0': 3}]
44121906,T19,[{'0': 3}]
44121906,T20,[{'13': 3}]
44121906,T21,[{'0': 3}]
44121906,T22,[{'1': 3}]
44121906,T23,[{'0': 3}]
44121906,T25,[{'0': 3}]
44121906,T26,[{'13': 3}]
44121906,T27,[{'8': 3}]
44121906,T28,[{'0': 3}]
44121906,T29,[{'13': 3}]
44121907,T1,[{'0': 3}]
44121907,T2,[{'0': 3}]
44121907,T3,[{'1': 3}]
44121907,T4,[{'0': 3}]
44121907,T5,[{'0': 3}]
44121907,T7,[{'0': 3}]
44121907,T8,[{'0': 3}]
44121907,T9,[{'0': 3}]
44121907,T10,[{'0': 3}]
44121907,T11,[{'0': 3}]
44121907,T13,[{'0': 3}]
44121907,T14,[{'0': 3}]
44121907,T15,[{'0': 3}]
44121907,T16,[{'0': 3}]
44121907,T17,[{'0': 3}]
44121907,T19,[{'13': 3}]
44121907,T20,[{'1': 3}]
44121907,T21,[{'13': 3}]
44121907,T22,[{'0': 3}]
44121907,T23,[{'0': 3}]
44121907,T25,[{'0': 3}]
44121907,T26,[{'7': 3}]
44121907,T27,[{'0': 3}]
44121907,T28,[{'0': 3}]
44121907,T29,[{'13': 3}]
44121908,T1,[{'0': 3}]
44121908,T2,[{'0': 3}]
44121908,T3,[{'0': 3}]
44121908,T4,[{'0': 3}]
44121908,T5,[{'0': 3}]
44121908,T7,[{'0': 3}]
44121908,T8,[{'0': 3}]
44121908,T9,[{'0': 3}]
44121908,T10,[{'0': 3}]
44121908,T11,[{'0': 3}]
44121908,T13,[{'0': 3}]
44121908,T14,[{'0': 3}]
44121908,T15,[{'0': 3}]
44121908,T16,[{'0': 3}]
44121908,T17,[{'0': 3}]
44121908,T19,[{'0': 3}]
44121908,T20,[{'0': 3}]
44121908,T21,[{'0': 3}]
44121908,T22,[{'0': 3}]
44121908,T23,[{'1': 3}]
44121908,T25,[{'0': 3}]
44121908,T26,[{'0': 3}]
44121908,T27,[{'13': 3}]
44121908,T28,[{'7': 3}]
44121908,T29,[{'0': 3}]
44121910,T1,[{'0': 3}]
44121910,T2,[{'0': 3}]
44121910,T3,[{'0': 3}]
44121910,T4,[{'0': 3}]
44121910,T5,[{'8': 3}]
44121910,T7,[{'1': 3}]
44121910,T8,[{'0': 3}]
44121910,T9,[{'0': 3}]
44121910,T10,[{'0': 3}]
44121910,T11,[{'0': 3}]
44121910,T13,[{'0': 3}]
44121910,T14,[{'13': 3}]
44121910,T15,[{'0': 3}]
44121910,T16,[{'0': 3}]
44121910,T17,[{'0': 3}]
44121910,T19,[{'0': 3}]
44121910,T20,[{'0': 3}]
44121910,T21,[{'0': 3}]
44121910,T22,[{'0': 3}]
44121910,T23,[{'0': 3}]
44121910,T25,[{'0': 3}]
44121910,T26,[{'0': 3}]
44121910,T27,[{'0': 3}]
44121910,T28,[{'0': 3}]
44121910,T29,[{'0': 3}]
44121912,T1,[{'0': 3}]
44121912,T2,[{'0': 3}]
44121912,T3,[{'0': 3}]
44121912,T4,[{'6': 3}]
44121912,T5,[{'0': 3}]
44121912,T7,[{'0': 3}]
44121912,T8,[{'0': 3}]
44121912,T9,[{'0': 3}]
44121912,T10,[{'1': 3}]
44121912,T11,[{'0': 3}]
44121912,T13,[{'1': 3}]
44121912,T14,[{'0': 3}]
44121912,T15,[{'0': 3}]
44121912,T16,[{'0': 3}]
44121912,T17,[{'0': 3}]
44121912,T19,[{'13': 3}]
44121912,T20,[{'0': 3}]
44121912,T21,[{'0': 3}]
44121912,T22,[{'0': 3}]
44121912,T23,[{'0': 3}]
44121912,T25,[{'0': 3}]
44121912,T26,[{'0': 3}]
44121912,T27,[{'0': 3}]
44121912,T28,[{'0': 3}]
44121912,T29,[{'13': 3}]
44121914,T1,[{'1': 4}]
44121914,T2,[{'0': 4}]
44121914,T3,[{'0': 4}]
44121914,T4,[{'0': 4}]
44121914,T5,[{'0': 4}]
44121914,T7,[{'1': 4}]
44121914,T8,[{'13': 4}]
44121914,T9,[{'1': 4}]
44121914,T10,[{'0': 4}]
44121914,T11,[{'0': 4}]
44121914,T13,[{'0': 4}]
44121914,T14,[{'1': 4}]
44121914,T15,[{'0': 4}]
44121914,T16,[{'0': 4}]
44121914,T17,[{'0': 4}]
44121914,T19,[{'0': 4}]
44121914,T20,[{'6': 4}]
44121914,T21,[{'0': 4}]
44121914,T22,[{'6': 4}]
44121914,T23,[{'0': 4}]
44121914,T25,[{'6': 4}]
44121914,T26,[{'0': 4}]
44121914,T27,[{'0': 4}]
44121914,T28,[{'0': 4}]
44121914,T29,[{'0': 4}]
44121915,T1,[{'0': 3}]
44121915,T2,[{'0': 3}]
44121915,T3,[{'13': 3}]
44121915,T4,[{'0': 3}]
44121915,T5,[{'1': 3}]
44121915,T7,[{'0': 3}]
44121915,T8,[{'0': 3}]
44121915,T9,[{'0': 3}]
44121915,T10,[{'0': 3}]
44121915,T11,[{'13': 3}]
44121915,T13,[{'7': 3}]
44121915,T14,[{'0': 3}]
44121915,T15,[{'8': 3}]
44121915,T16,[{'0': 3}]
44121915,T17,[{'0': 3}]
44121915,T19,[{'1': 3}]
44121915,T20,[{'1': 3}]
44121915,T21,[{'0': 3}]
44121915,T22,[{'0': 3}]
44121915,T23,[{'0': 3}]
44121915,T25,[{'0': 3}]
44121915,T26,[{'0': 3}]
44121915,T27,[{'0': 3}]
44121915,T28,[{'0': 3}]
44121915,T29,[{'1': 3}]
44121918,T1,[{'0': 3}]
44121918,T2,[{'6': 3}]
44121918,T3,[{'0': 3}]
44121918,T4,[{'0': 3}]
44121918,T5,[{'13': 3}]
44121918,T7,[{'13': 3}]
44121918,T8,[{'13': 3}]
44121918,T9,[{'0': 3}]
44121918,T10,[{'0': 3}]
44121918,T11,[{'0': 3}]
44121918,T13,[{'13': 3}]
44121918,T14,[{'0': 3}]
44121918,T15,[{'1': 3}]
44121918,T16,[{'0': 3}]
44121918,T17,[{'0': 3}]
44121918,T19,[{'0': 3}]
44121918,T20,[{'0': 3}]
